HITId,HITTypeId,Title,Description,WorkerId,Input.comment,Answer.neg_qual_ctrl,Answer.pos_qual_ctrl,Answer.summary,Approve,Reject
ID1,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z1,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker1,i did the math and [stockName] can murder at most another 36 children before it starts to affect the price. 36 deaths are basically priced in.,Negative,Positive,Positive,,
ID1,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z1,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker2,i did the math and [stockName] can murder at most another 36 children before it starts to affect the price. 36 deaths are basically priced in.,Negative,Negative,Positive,,
ID1,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z1,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker3,i did the math and [stockName] can murder at most another 36 children before it starts to affect the price. 36 deaths are basically priced in.,Negative,Negative,Negative,,
ID1,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z1,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker4,i did the math and [stockName] can murder at most another 36 children before it starts to affect the price. 36 deaths are basically priced in.,Positive,Negative,Negative,,
ID1,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z1,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker5,i did the math and [stockName] can murder at most another 36 children before it starts to affect the price. 36 deaths are basically priced in.,Positive,Positive,Negative,,
ID2,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z1,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker1,[stockName] is like that homie that says they're gonna hang out the next day but never does,Positive,Positive,Negative,,
ID2,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z1,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker2,[stockName] is like that homie that says they're gonna hang out the next day but never does,Negative,Positive,Positive,,
ID2,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z1,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker3,[stockName] is like that homie that says they're gonna hang out the next day but never does,Negative,Positive,Positive,,
ID2,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z1,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker4,[stockName] is like that homie that says they're gonna hang out the next day but never does,Negative,Positive,Positive,,
ID2,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z1,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker5,[stockName] is like that homie that says they're gonna hang out the next day but never does,Negative,Positive,Positive,,
ID3,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z1,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker1,[stockName] 420 by 4/20 of course,Negative,Positive,Negative,,
ID3,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z2,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker2,[stockName] 420 by 4/20 of course,Negative,Negative,Negative,,
ID3,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z3,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker3,[stockName] 420 by 4/20 of course,Negative,Negative,Negative,,
ID3,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z4,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker4,[stockName] 420 by 4/20 of course,Negative,Negative,Negative,,
ID3,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z5,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker5,[stockName] 420 by 4/20 of course,Negative,Positive,Positive,,
ID4,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z6,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker1,be grateful you lost all your money on options. there are people in third world countries who have no money to buy 0dte [stockName] puts.,Negative,Positive,Positive,,
ID4,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z7,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker2,be grateful you lost all your money on options. there are people in third world countries who have no money to buy 0dte [stockName] puts.,Negative,Positive,Negative,,
ID4,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z8,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker3,be grateful you lost all your money on options. there are people in third world countries who have no money to buy 0dte [stockName] puts.,Negative,Positive,Negative,,
ID4,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z9,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker4,be grateful you lost all your money on options. there are people in third world countries who have no money to buy 0dte [stockName] puts.,Negative,Positive,Positive,,
ID4,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z10,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker5,be grateful you lost all your money on options. there are people in third world countries who have no money to buy 0dte [stockName] puts.,Negative,Positive,Positive,,
ID5,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z11,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker1,espn just posted that every nba team will be retiring the number 23 in honor of [stockName]. crazy.,Positive,Positive,Positive,,
ID5,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z12,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker2,espn just posted that every nba team will be retiring the number 23 in honor of [stockName]. crazy.,Positive,Positive,Positive,,
ID5,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z13,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker3,espn just posted that every nba team will be retiring the number 23 in honor of [stockName]. crazy.,Positive,Positive,Positive,,
ID5,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z14,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker4,espn just posted that every nba team will be retiring the number 23 in honor of [stockName]. crazy.,Negative,Negative,Negative,,
ID5,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z15,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker5,espn just posted that every nba team will be retiring the number 23 in honor of [stockName]. crazy.,Negative,Negative,Negative,,
ID6,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z16,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker1,[stockName] is gonna hit 150 eow no more 🍎‘s only 🍏’s this week,Negative,Negative,Negative,,
ID6,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z17,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker2,[stockName] is gonna hit 150 eow no more 🍎‘s only 🍏’s this week,Negative,Positive,Negative,,
ID6,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z18,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker3,[stockName] is gonna hit 150 eow no more 🍎‘s only 🍏’s this week,Negative,Positive,Negative,,
ID6,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z19,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker4,[stockName] is gonna hit 150 eow no more 🍎‘s only 🍏’s this week,Positive,Positive,Negative,,
ID6,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z20,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker5,[stockName] is gonna hit 150 eow no more 🍎‘s only 🍏’s this week,Positive,Positive,Negative,,
ID7,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z21,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker1,[stockName] $150 by end of june,Positive,Positive,Negative,,
ID7,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z22,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker2,[stockName] $150 by end of june,Negative,Positive,Negative,,
ID7,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z23,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker3,[stockName] $150 by end of june,Negative,Positive,Positive,,
ID7,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z24,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker4,[stockName] $150 by end of june,Negative,Positive,Positive,,
ID7,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z25,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker5,[stockName] $150 by end of june,Negative,Positive,Positive,,
ID8,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z26,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker1,"if [stockName] doesn’t touch $420 by 04/20, i’m buying puts",Negative,Positive,Positive,,
ID8,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z27,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker2,"if [stockName] doesn’t touch $420 by 04/20, i’m buying puts",Negative,Positive,Positive,,
ID8,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z28,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker3,"if [stockName] doesn’t touch $420 by 04/20, i’m buying puts",Negative,Negative,Positive,,
ID8,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z29,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker4,"if [stockName] doesn’t touch $420 by 04/20, i’m buying puts",Negative,Positive,Positive,,
ID8,3P2WBZVMLA0CV2SYOT0ADNPBUMQ9Z30,"Label comment with + for positive, - for negative, and = for neutral","Label Comment as + for positive, - for negative, = for neutral",Worker5,"if [stockName] doesn’t touch $420 by 04/20, i’m buying puts",Negative,Positive,Positive,,